date,AUSTRIA,CANADA,GERMANY,ITALY
1950,1.0275,3.6511,5.7254,1.7990
1951,1.0294,3.7342,6.2567,1.8294
1952,1.0293,3.9322,6.7030,2.8598
1953,2.0306,4.0199,7.2564,2.9169
1954,2.0336,3.8607,7.7264,3.9421
1955,2.0373,4.1180,8.5703,2.9961
1956,2.0398,4.3649,9.0765,1.0344
1957,2.0422,4.3395,9.4593,1.0816
1958,2.0436,4.3124,9.6656,1.1260
1959,2.0447,4.3824,7.2590,1.1897
1960,2.0484,4.3884,7.6080,1.2723
1961,2.0508,4.4335,7.0321,1.3679
1962,2.0518,4.6457,7.3840,1.4436
1963,2.0536,4.8122,7.6110,1.5140
1964,2.0563,5.0242,7.2660,1.5442
1965,3.0570,5.2679,6.8138,1.5828
1966,3.0604,5.5345,6.0162,1.6665
1967,3.0617,5.6226,6.9640,1.7748
1968,3.0642,5.8451,6.7300,1.8795
1969,3.0680,6.0626,4.6650,1.9918
1970,3.0725,6.1350,5.3920,2.0737
1971,3.0763,6.4804,5.7200,2.0939
1972,3.0804,6.7869,6.1970,2.1457
1973,4.0842,7.2155,6.9070,2.2807
1974,4.0876,7.3834,6.9770,2.3600
1975,4.0865,7.3371,6.7240,2.2614
1976,4.0921,7.6523,5.6720,2.3830
1977,5.0955,7.7650,5.1950,2.4296
1978,5.0969,7.9604,5.7980,2.4739
1979,5.1017,8.1792,4.6400,2.5876
1980,6.1047,8.1605,4.9350,2.6829
1981,6.1044,8.3827,4.9030,2.6835
1982,6.1053,7.9236,3.7230,2.6654
1983,6.1078,8.0654,3.9850,2.8253